t,Yt
1980/01,10401367.607
1980/02,10342350
1980/03,10392733.012
1980/04,10927666.353
1981/01,11345848.491
1981/02,11564024.632
1981/03,11427297.667
1981/04,11759145.617
1982/01,11739627.496
1982/02,11650017.816
1982/03,11397428.97
1982/04,11286384.638
1983/01,11163156.387
1983/02,10952709.703
1983/03,10762491.888
1983/04,11064605.247
1984/01,11521509.444
1984/02,11274728.78
1984/03,11260790.387
1984/04,11429832.55
1985/01,11748571.411
1985/02,11628257.357
1985/03,11367630.012
1985/04,11615393.4
1986/01,11278255.89
1986/02,11503306.602
1986/03,10747058.786
1986/04,11009307.299
1987/01,11137876.913
1987/02,11543181.297
1987/03,11129229.092
1987/04,11646620.512
1988/01,11501000.15
1988/02,11678253.186
1988/03,11103016.647
1988/04,11728421.716
1989/01,11764439.834
1989/02,12178231.796
1989/03,11685108.16
1989/04,12051005.95
1990/01,12307181.982
1990/02,12654375.204
1990/03,12289241.308
1990/04,12931144.141
1991/01,12713377.406
1991/02,13349245.67
1991/03,12678199.397
1991/04,13436306.515
1992/01,13317626.77
1992/02,13636576.4
1992/03,13291879.03
1992/04,13793046.88
1993/01,13759047.141
1993/02,13889138.022
1993/03,13862877.862
1993/04,14077367.59
1994/01,14100079.596
1994/02,14655091.44
1994/03,14488837.434
1994/04,14787048.878
1995/01,14043967.125
1995/02,13287436.998
1995/03,13412225.045
1995/04,13857618.817
1996/01,14237674.051
1996/02,14340835.472
1996/03,14412889.209
1996/04,15005117.104
1997/01,14809597.971
1997/02,15584321.59
1997/03,15624240.305
1997/04,16153453.318
1998/01,16337140.153
1998/02,16539586.099
1998/03,16552825.673
1998/04,16587424.608
1999/01,16704986.325
1999/02,16929125.814
1999/03,17050479.368
1999/04,17151172.791
2000/01,17649717.208
2000/02,17862005.381
2000/03,18020875.355
2000/04,17714819.592
2001/01,17764226.801
2001/02,17874017.32
2001/03,17761063.345
2001/04,17526894.47
2002/01,17079177.151
2002/02,18016819.255
2002/03,17827998.075
2002/04,17834404.571
2003/01,17609575.944
2003/02,18082636.092
2003/03,17859145.355
2003/04,18045914.226
2004/01,18184992.557
2004/02,18770261.451
2004/03,18461383.357
2004/04,18733392.751
2005/01,18271701.046
2005/02,19218692.303
2005/03,18883253.808
2005/04,19343356.331
2006/01,19362530.663
2006/02,20116119.011
2006/03,19836036.605
2006/04,20040529.463
2007/01,19745610.807
2007/02,20509465.43
2007/03,20266820.485
2007/04,20482212.432
2008/01,19902932.332
2008/02,20998515.62
2008/03,20495874.605
2008/04,20370924.167
2009/01,18537230.619
2009/02,18827530.998
2009/03,19292213.257
2009/04,19963755.847
2010/01,19372019.314
2010/02,20180689.828
2010/03,20200788.736
2010/04,20676305.708
2011/01,20091482.035
2011/02,20682938.229
2011/03,20950108.021
2011/04,21475313.993
2012/01,21083686.098
2012/02,21522098.029
2012/03,21479054.083
2012/04,22071269.811
2013/01,21025825.067
2013/02,21893527.191
2013/03,21702814.242
2013/04,22268079.065
2014/01,21547656.972
2014/02,22320096.71
2014/03,22258208.348
2014/04,22939809.789
2015/01,22170066.366
2015/02,22843171.463
2015/03,23011620.967
2015/04,23447758.238
2016/01,22535828.556
2016/02,23358946.766
2016/03,23214602.356
2016/04,23984585.306
2017/01,23310391.874
2017/02,23713882.879
2017/03,23491269.632
2017/04,24320884.86
2018/01,23552505.709
2018/02,24383039.703
2018/03,24138775.633
2018/04,24632360.455
2019/01,23805575.139
2019/02,24202353.687
2019/03,24047643.344
2019/04,24382120.872
2020/01,23437921.829
2020/02,19195673.965
2020/03,22018616.468
2020/04,23442090.043
2021/01,22744645.004
2021/02,23496568.373
2021/03,23091317.777
2021/04,23904566.339
2022/01,23416073.471
2022/02,24276153.485
2022/03,24263053.294
2022/04,24916415.108
2023/01,24298924.431
2023/02,25146771.159